,Genre,Count,revenue_avg_World,budget_avg,profit
0,Action,508,239960740.22637796,74477299.68503937,165483440.5413386
1,Adventure,402,352758032.3134328,99417824.75870647,253340207.55472636
2,Sci-Fi,135,360769542.2814815,96477007.24444444,264292535.03703707
3,Drama,894,71939627.58948545,24162112.300894853,47777515.288590595
4,Animation,121,315714782.6280992,82481021.90082644,233233760.72727275
5,Family,116,205588369.89655173,64741866.06034483,140846503.8362069
6,Fantasy,137,257419131.16788322,82005405.0729927,175413726.09489053
7,Musical,13,180089806.07692307,29833118.384615384,150256687.69230768
8,Comedy,632,10754777.629746836,2626025.289556962,8128752.340189874
9,Mystery,139,552398041.1798561,166511770.42446044,385886270.75539565
10,Crime,245,53960485.50612245,13847779.412244897,40112706.093877554
11,Biography,179,109392904.50837989,40768573.49162011,68624331.01675978
12,Horror,153,85680484.4248366,25562302.92156863,60118181.50326797
13,Thriller,276,42704259.88405797,10140811.170289855,32563448.713768113
14,Music,71,410855575.08450705,115382735.85915492,295472839.2253521
15,Romance,248,61335107.60483871,21318594.495967742,40016513.10887097
16,History,72,60143621.597222224,25873224.708333332,34270396.888888896
17,Western,10,95724559.0,40042000.0,55682559.0
18,Documentary,107,12790498.607476635,9146055.570093459,3644443.0373831764
19,Sport,35,37151518.6,25012151.314285714,12139367.285714287
20,War,16,34787894.3125,20609671.1875,14178223.125
21,Short,4,5576301.0,7495000.0,-1918699.0
22,News,3,3787487.6666666665,3566666.6666666665,220821.0
23,Reality-TV,3,15239492.666666666,8101666.666666667,7137825.999999999
24,Game-Show,1,267476.0,4500000.0,-4232524.0
