,Genre,Count,revenue_average_US,revenue_avg_World,profit,budget_avg,ratingssum,rating_avg
9,Mystery,139,237116038.2086331,552398041.1798562,385886270.75539565,166511770.42446044,860.1000000000003,6.187769784172664
14,Music,71,152905529.50704226,410855575.0845071,295472839.22535217,115382735.85915492,532.5999999999998,7.501408450704224
2,Sci-Fi,135,129833541.63703704,360769542.2814815,264292535.03703707,96477007.24444444,882.0,6.533333333333332
1,Adventure,402,121536623.18656716,352758032.3134328,253340207.55472642,99417824.75870648,2613.199999999997,6.500497512437805
4,Animation,121,115674482.60330579,315714782.62809914,233233760.72727275,82481021.90082644,796.7999999999997,6.585123966942147
6,Fantasy,137,83990652.73722628,257419131.16788322,175413726.09489053,82005405.0729927,855.2999999999997,6.243065693430654
0,Action,508,85235025.12007874,239960740.22637796,165483440.5413386,74477299.68503937,3270.499999999997,6.437992125984247
7,Musical,13,68760190.46153846,180089806.07692307,150256687.69230768,29833118.384615384,85.2,6.553846153846153
5,Family,116,78951065.12931034,205588369.89655173,140846503.8362069,64741866.06034483,728.6000000000001,6.2810344827586215
11,Biography,179,49127905.46927375,109392904.50837988,68624331.01675978,40768573.49162011,1245.0000000000002,6.955307262569834
12,Horror,153,36771906.36601307,85680484.42483659,60118181.50326797,25562302.92156863,894.7999999999997,5.848366013071893
17,Western,10,48143070.9,95724559.0,55682559.0,40042000.0,66.1,6.6099999999999985
3,Drama,894,29807049.80313199,71939627.58948545,47777515.2885906,24162112.30089485,5918.799999999997,6.620581655480982
10,Crime,245,23155585.13061225,53960485.50612245,40112706.09387755,13847779.412244895,1597.0999999999995,6.518775510204079
15,Romance,248,28816980.64919355,61335107.60483871,40016513.10887097,21318594.495967746,1586.6999999999994,6.397983870967739
16,History,72,26661513.20833333,60143621.59722222,34270396.888888896,25873224.70833333,487.20000000000016,6.7666666666666675
13,Thriller,276,19221971.82246377,42704259.88405797,32563448.713768113,10140811.170289855,1734.6,6.284782608695653
20,War,16,12151477.0625,34787894.3125,14178223.125,20609671.1875,105.5,6.593750000000001
19,Sport,35,22469946.942857146,37151518.6,12139367.285714287,25012151.314285714,237.4,6.782857142857143
8,Comedy,632,4377901.120253163,10754777.629746836,8128752.340189874,2626025.289556962,4001.7,6.3318037974683525
23,Reality-TV,3,499613.33333333326,15239492.666666664,7137825.999999999,8101666.666666668,21.0,7.0
18,Documentary,107,3661543.0560747664,12790498.607476635,3644443.0373831764,9146055.57009346,680.1000000000001,6.3560747663551425
22,News,3,394207.66666666674,3787487.666666666,220821.0,3566666.666666666,21.2,7.066666666666666
21,Short,4,1803983.5,5576301.0,-1918699.0,7495000.0,26.1,6.525
24,Game-Show,1,8691.0,267476.0,-4232524.0,4500000.0,5.8,5.8
